idmessage,idrole
789980944030629888,789948484374495233
789980807821262868,789948396819447849
789980757002551308,751931092193509497
789980712547123244,775783270340100157
789980653051576341,774268070981271562
789980599133536267,784416932732338176
789980508314140672,775266418102632448
789980444334096434,789947337904226334
789980351732121630,755394691616342016
789980299983323146,750415861776646264
789980250594476072,787617823140347904
789980038983450674,789946400661307403
789979992091918336,750646375791722516
789979927722065940,758265909458108416
789979835480408084,789946527778340874
789979775736872991,750415900280094912
789979717021335612,750415993616203999
789979344893771817,757629601676656640
789979300479762432,762652080796073995
789979186239373353,776065844047511585
789979122063376425,769539678651023361
789979031957012502,789947569463754793
789978912586596393,789947846194495508
789978860413911051,785820393515909120
789978798404927500,789948395842306068
790178015022940182,790176851028738049
790209789208559636,790209584241442827
790219402733289503,790219144791588874
797025029803868160,797022299861286923
811700860069478450,811691449821036584
836730462352834570,836730213810831371
882681793088725024,882675609434742806
883768186263203890,789947569463754793
884144782618787881,884144267646357525
884144802030055445,884144406947582012
884144817616076810,884144436030894121
884144831029452841,884144495208321065
884144847374671913,884144534588633088
884144857608749056,884144573843116083
884144870997000194,884144621746266193
884144886692081715,884144660069642271
885251219210248293,885250053831294976
885251228500643843,885250461559570523
885251240420835418,885250504295342160
885251248931078175,885250537761701909
885251262805848084,885250573727830087
885251276936466514,885250621274468372
885251293122269235,885250773951332473
885251314009915472,885250826615029801
885251431848882237,885250864288264242
885251442712125450,885250899264540704
885259281652387871,885253905213173821
886301771327209482,886301105275932722
886301788460974121,886300966016659516
886301812615954482,886301271026466906
886301832593428500,886301407152586782
886301847990706186,886301191909298236
892328180508139520,892326901362876426
910240881855041557,910240715479601152
842482818818768937,842479153726488576
807709134584807425,806668122277937163
912774779520573462,912773145163857931
916016133017051236,916015809359413348
930892717305782302,930892078249029672
